votl,amper,RESISTENCIA DE 10 K ohm,
2.7,0.1,,
3.5,0.2,,
4.3,0.3,,
5.3,0.4,,
6.2,0.5,,
7.4,0.6,,
8.3,0.7,,
9.2,0.8,,
10.4,0.9,,
11.4,1,,
12.2,1.1,,
13.3,1.2,,
14.1,1.3,,
14.7,1.3,,
15.9,1.4,,
16.7,1.5,,
17.7,1.6,,
18.6,1.7,,
19.6,1.8,,
20.7,1.9,,
21.6,2,,
21.8,2,,
22.5,2.1,,
23.2,2.2,,
24.2,2.3,,
25.2,2.4,,
,,,
,,RESISTENCIA DE 96.8 ohm,0.25 A
0,1.3,,
2.3,22.9,,
3.7,36,,
4.3,43.8,,
5.2,52.2,,
5.3,52.3,,
6.6,66.4,,
7.6,77.7,,
7.8,78.3,,
8.4,85,,
9.4,95.5,,
10.5,107.4,,
11.3,117.6,,
,,,
1.5 wats max,I * R^2,,
